ProteinGroups,ProteinAccessions,Genes,ProteinDescriptions,UniProtIds,ProteinNames,FastaFiles,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10,sample_11
P35279,P35279,Rab6a,Ras-related protein Rab-6A,P35279,RAB6A_MOUSE,UP000000589_mouse_reviewed_can_220920,341499.7813,300704.7813,294494.2188,319224.7188,298644.9375,275719.0313,293613.2813,263554.625,279408.6563,261840.7031,290239.5938
P35282,P35282,Rab21,Ras-related protein Rab-21,P35282,RAB21_MOUSE,UP000000589_mouse_reviewed_can_220920,418875.7813,372835.9375,428659.3125,361988.4688,381064.9688,384846.6875,420804.9688,379847.125,394632.7188,370836.375,375785.7188
P35283,P35283,Rab12,Ras-related protein Rab-12,P35283,RAB12_MOUSE,UP000000589_mouse_reviewed_can_220920,160303.2031,133354.2344,143643.4375,127709.4141,114307.3359,160401.2188,163817.7656,134119.8594,155178.4219,123562.1875,145187.1094
P35293,P35293,Rab18,Ras-related protein Rab-18,P35293,RAB18_MOUSE,UP000000589_mouse_reviewed_can_220920,398385.3125,364585.0625,385704.1563,388707.1563,358229.9063,402768.875,427979.0938,417083.375,413399.7188,366698.6875,415319.625
P35330,P35330,Icam2,Intercellular adhesion molecule 2,P35330,ICAM2_MOUSE,UP000000589_mouse_reviewed_can_220920,240224.3438,804087.9375,738498.3125,225478.4844,123400.375,121898.0703,602790.4375,113005.3594,498765.375,447383.4063,84494.13281
P35385,P35385,Hspb7,Heat shock protein beta-7,P35385,HSPB7_MOUSE,UP000000589_mouse_reviewed_can_220920,738829.5625,766159.6875,733904.6875,704721.8125,963571.625,761505.25,701317.3125,720943.9375,642914.8125,695461.9375,664621
P35441,P35441,Thbs1,Thrombospondin-1,P35441,TSP1_MOUSE,UP000000589_mouse_reviewed_can_220920,36948.66016,30258.36914,57926.78906,35843.91797,37203.55078,22979.67969,85805.75,25592.97461,42572.61719,35178.95313,42182.10547
P35486,P35486,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",P35486,ODPA_MOUSE,UP000000589_mouse_reviewed_can_220920,23669330,22489856,23530258,26625410,23338498,23992852,21699310,23146048,23271352,21696868,21676354
P35505,P35505,Fah,Fumarylacetoacetase,P35505,FAAA_MOUSE,UP000000589_mouse_reviewed_can_220920,96714.40625,139097.2188,70620.27344,79128.36719,120654.7813,199087.2969,219924.7344,220400.0469,432713.3438,409749.0625,232513.5781
P35550,P35550,Fbl,rRNA 2'-O-methyltransferase fibrillarin,P35550,FBRL_MOUSE,UP000000589_mouse_reviewed_can_220920,166548.6094,156241.0156,162153.4531,152374.0781,157772.1563,191920.7188,139289.7813,157353.2969,171311.0625,133846.5938,130694.6953
P35564,P35564,Canx,Calnexin,P35564,CALX_MOUSE,UP000000589_mouse_reviewed_can_220920,911854,911438.8125,993593.4375,921176.8125,834298.1875,687900.1875,989414.8125,785947.875,806355,845602.5625,898907.875
P35585,P35585,Ap1m1,AP-1 complex subunit mu-1,P35585,AP1M1_MOUSE,UP000000589_mouse_reviewed_can_220920,131164.8438,137522.3438,129158.6406,128798.7422,102741.9688,123457.5078,119745.7188,117622.875,118800.9063,109151.1875,106673.1641
P35700,P35700,Prdx1,Peroxiredoxin-1,P35700,PRDX1_MOUSE,UP000000589_mouse_reviewed_can_220920,5313602,5632585.5,5508115.5,5575837,5044451.5,5518069,5206060,5352780.5,5389857.5,5484991,5275637
P35762,P35762,Cd81,CD81 antigen,P35762,CD81_MOUSE,UP000000589_mouse_reviewed_can_220920,753195.0625,785286.5,753206.8125,635546.75,866381.625,426818.8125,699185.3125,706067.625,621610.375,931047.875,673613.5
P35802,P35802,Gpm6a,Neuronal membrane glycoprotein M6-a,P35802,GPM6A_MOUSE,UP000000589_mouse_reviewed_can_220920,31683.07227,19435.86914,19811.94727,18973.46484,8551.34668,1782.986084,9453.458984,4259.326172,17484.26172,12089.22949,15050.62402
P35831,P35831,Ptpn12,Tyrosine-protein phosphatase non-receptor type 12,P35831,PTN12_MOUSE,UP000000589_mouse_reviewed_can_220920,4803.126953,7894.811035,3383.967285,1354.346191,1957.803345,5682.375,3316.279297,2694.552734,4657.666016,1989.856201,4034.926758
P35908,P35908,,,,,MaxQuant Contaminants,10952.28223,Filtered,18078.67383,32860.78516,18801.87305,51357.25391,14035.50781,28633.86523,14981.99121,5391.493164,13763.19629
P35922,P35922,Fmr1,Fragile X messenger ribonucleoprotein 1,P35922,FMR1_MOUSE,UP000000589_mouse_reviewed_can_220920,9956.676758,9064.386719,8157.745117,2625.003662,4237.737793,11855.21875,5018.252441,5592.880371,10507.70508,4255.023926,5238.311035
P35979,P35979,Rpl12,60S ribosomal protein L12,P35979,RL12_MOUSE,UP000000589_mouse_reviewed_can_220920,989277.5625,957674.25,987399,1073697.125,980491.3125,1082785.375,950534.9375,1074036.625,969095.875,930748.0625,963915.375
P35980,P35980,Rpl18,60S ribosomal protein L18,P35980,RL18_MOUSE,UP000000589_mouse_reviewed_can_220920,890078.375,663450.375,618680.3125,789056.3125,616264,874324.3125,840610.1875,760780.875,703989.375,666172.0625,695028.5
P36371,P36371,Tap2,Antigen peptide transporter 2,P36371,TAP2_MOUSE,UP000000589_mouse_reviewed_can_220920,67929.47656,67209.94531,85794.88281,53436.96875,57549.41016,77395.61719,75162.25781,70274.64063,78097.46094,94783.03906,106587.875
P36536,P36536,Sar1a,GTP-binding protein SAR1a,P36536,SAR1A_MOUSE,UP000000589_mouse_reviewed_can_220920,307803.1563,281100.8125,252013.0938,276972.6875,229792.7656,316762.4063,310646.5,310459.0625,289280.4063,283695.3438,318591.2813
P36552,P36552,Cpox,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",P36552,HEM6_MOUSE,UP000000589_mouse_reviewed_can_220920,324827.0313,249176.9688,297408.2813,336888.2813,259010.4844,331622.6563,346057.875,310167.125,317077.0938,283559.9688,296850.0625
P36916,P36916,Gnl1,Guanine nucleotide-binding protein-like 1,P36916,GNL1_MOUSE,UP000000589_mouse_reviewed_can_220920,22217.8125,18296.55664,20385.60156,18825.76367,24866.61719,27927.75195,24839.7793,27075.81836,11681.97852,20314.37891,13314.76563
P36993,P36993,Ppm1b,Protein phosphatase 1B,P36993,PPM1B_MOUSE,UP000000589_mouse_reviewed_can_220920,199002.7188,178211.4219,183081.8125,187865.5469,168061.4375,193105.5469,204612.6719,192424.7969,181543.1875,173561.8281,194755.9844
P37040,P37040,Por,NADPH--cytochrome P450 reductase,P37040,NCPR_MOUSE,UP000000589_mouse_reviewed_can_220920,2982282,2951440.75,2729441.5,3148724,2887787.25,3098908,2932593.5,2972944.75,3861289,3558872.25,3320747.5
P37804,P37804,Tagln,Transgelin,P37804,TAGL_MOUSE,UP000000589_mouse_reviewed_can_220920,1861881.75,2091376.125,1616159.75,1904665.5,1789216,661996.875,813474.4375,821399.1875,1657658.75,1713064,1434674.125
P37889,P37889,Fbln2,Fibulin-2,P37889,FBLN2_MOUSE,UP000000589_mouse_reviewed_can_220920,36048.48828,32684.2168,45610.8125,33574.19531,34905.57813,38639.80078,28994.45898,34772.42578,30824.09961,24743.99219,27679.44336
P37913,P37913,Lig1,DNA ligase 1,P37913,DNLI1_MOUSE,UP000000589_mouse_reviewed_can_220920,1,Filtered,Filtered,NaN,NaN,0.950059295,Filtered,Filtered,836.9564819,NaN,52.88430023
P38060,P38060,Hmgcl,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",P38060,HMGCL_MOUSE,UP000000589_mouse_reviewed_can_220920,591012.8125,531940.5625,570063.3125,591161.25,532467.6875,602135.9375,555514.875,522479.125,442064.7188,437857.2188,544665.125
P38647,P38647,Hspa9,"Stress-70 protein, mitochondrial",P38647,GRP75_MOUSE,UP000000589_mouse_reviewed_can_220920,10881391,12224890,11618165,11647677,13090375,11254591,10369455,11924817,12497843,12148085,11040065
P39054,P39054,Dnm2,Dynamin-2,P39054,DYN2_MOUSE,UP000000589_mouse_reviewed_can_220920,361197.5625,334797.5,346643.0625,351466.8125,337030.0313,389491.4688,355938.6875,355146.0625,364100.5625,305034.0313,290756.7188
P39061,P39061,Col18a1,Collagen alpha-1(XVIII) chain,P39061,COIA1_MOUSE,UP000000589_mouse_reviewed_can_220920,433832,430230.8438,404994.875,466483.125,490297.3438,230071.3906,266465.75,280497.4063,442784.4375,421147.2813,323040.5313
P39447,P39447,Tjp1,Tight junction protein ZO-1,P39447,ZO1_MOUSE,UP000000589_mouse_reviewed_can_220920,285346.0313,269969.625,301902.5938,291675.4375,272610.1563,234644.6563,233026.1406,226955.2656,230654.375,237106.6094,248685.5469
P39749,P39749,Fen1,Flap endonuclease 1,P39749,FEN1_MOUSE,UP000000589_mouse_reviewed_can_220920,36706.32813,35925.58203,19628.26172,32642.87109,21687.57227,37330.51563,19235.5332,26274.65625,29081.79297,44271.78906,23249.63477
P39876,P39876,Timp3,Metalloproteinase inhibitor 3,P39876,TIMP3_MOUSE,UP000000589_mouse_reviewed_can_220920,87885.64063,80046.15625,114626.8672,69677.92188,82655.79688,57235.32813,80732.46875,65713.9375,89683.96094,76265.59375,72169.07031
P40124,P40124,Cap1,Adenylyl cyclase-associated protein 1,P40124,CAP1_MOUSE,UP000000589_mouse_reviewed_can_220920,363221.8438,346712.5625,338014.1563,397599.0625,347392.9375,324332.8125,309246.9063,291196.4375,442695,331304.125,303762.9375
P40142,P40142,Tkt,Transketolase,P40142,TKT_MOUSE,UP000000589_mouse_reviewed_can_220920,570042.5625,484625.25,481550.4375,627700.9375,493395.25,478112.1875,434158.5313,445631.1875,926295.625,539820.5,449729.5938
P40240,P40240,Cd9,CD9 antigen,P40240,CD9_MOUSE,UP000000589_mouse_reviewed_can_220920,58061.42578,57049.79297,61820.49609,55973.625,53281.39844,15224.14941,43149.00391,31270.74219,55285.69531,37336.73047,52304.72266
P40336,P40336,Vps26a,Vacuolar protein sorting-associated protein 26A,P40336,VP26A_MOUSE,UP000000589_mouse_reviewed_can_220920,742356,753959.75,799566.8125,781158.8125,769039.4375,601890.125,689201,743987.8125,768894.875,773685.3125,734334
P40630,P40630,Tfam,"Transcription factor A, mitochondrial",P40630,TFAM_MOUSE,UP000000589_mouse_reviewed_can_220920,197490.375,207700.125,186494.875,174635.4219,220795.5,240214.7344,197999.1563,235049.8906,221553.0469,209290.2656,215818.2813
P40753,P40753,Nppb,Natriuretic peptides B,P40753,ANFB_MOUSE,UP000000589_mouse_reviewed_can_220920,4909.581055,9511.3125,5936.84082,6894.944336,5496.25,NaN,514.3109741,791.1062622,3525.936279,2902.233887,7395.149414
P40936,P40936,Inmt,Indolethylamine N-methyltransferase,P40936,INMT_MOUSE,UP000000589_mouse_reviewed_can_220920,715029.9375,594749.6875,506807.2813,564072.875,528878.75,611932.25,735418.5,502689.875,965005.5625,1012353.25,1033662.813
P41105,P41105,Rpl28,60S ribosomal protein L28,P41105,RL28_MOUSE,UP000000589_mouse_reviewed_can_220920,261546.125,299984.9375,244650.2344,274265.9375,312506.6563,283096.6563,252661.9531,360152.5938,256099.7031,255407.2031,286732.375
P41216,P41216,Acsl1,Long-chain-fatty-acid--CoA ligase 1,P41216,ACSL1_MOUSE,UP000000589_mouse_reviewed_can_220920,8482395,8251975,8151587.5,8138084,7414513.5,9043130,9931652,8972673,9599703,8317268,9245823
P41241,P41241,Csk,Tyrosine-protein kinase CSK,P41241,CSK_MOUSE,UP000000589_mouse_reviewed_can_220920,4446.73291,8535.399414,4291.374023,7166.656738,6800.81543,6213.919434,8072.634766,6053.331055,11898.18457,5638.740234,5232.756348
P41361,P41361,,,,,MaxQuant Contaminants,239778.5469,241538.8125,152782.3125,149734.8281,108169.6875,128109.1406,145969.0781,114638.1641,254096.2656,355716.2188,289953.2188
P42125,P42125,Eci1,"Enoyl-CoA delta isomerase 1, mitochondrial",P42125,ECI1_MOUSE,UP000000589_mouse_reviewed_can_220920,18876888,18651898,17705038,18542620,17726634,17445474,18353266,17072890,17553736,16761617,16591658
P42208,P42208,Septin2,Septin-2,P42208,SEPT2_MOUSE,UP000000589_mouse_reviewed_can_220920,501898.125,480669.6563,511190.9375,529641.625,501812.8125,482807.4688,421365.3125,462499.0938,485307.4063,469812.75,417627.9375
P42225,P42225,Stat1,Signal transducer and activator of transcription 1,P42225,STAT1_MOUSE,UP000000589_mouse_reviewed_can_220920,56175.78906,49627.16406,51185.9375,79263.86719,45672.53516,45302.02344,44909.32813,46433.96094,78427.91406,47199.60547,38658.10156
P42227,P42227,Stat3,Signal transducer and activator of transcription 3,P42227,STAT3_MOUSE,UP000000589_mouse_reviewed_can_220920,149803.7344,143425.5313,148532.0313,139843.5938,148258.5625,138253.2031,142648.1563,144724.1719,139773.0313,143860.75,129276.5938
P42230,P42230,Stat5a,Signal transducer and activator of transcription 5A,P42230,STA5A_MOUSE,UP000000589_mouse_reviewed_can_220920,3891.913086,4390.022461,4296.312988,3365.308105,3478.32251,4596.493652,3959.442871,3138.288574,5616.178223,2772.606201,3562.915527
P42232,P42232,Stat5b,Signal transducer and activator of transcription 5B,P42232,STA5B_MOUSE,UP000000589_mouse_reviewed_can_220920,402928.3438,354590.5,388693.875,400283.6563,364777.5313,353459.4375,367931.5625,345817.125,407182.9688,361600.3438,368573.0313
P42567,P42567,Eps15,Epidermal growth factor receptor substrate 15,P42567,EPS15_MOUSE,UP000000589_mouse_reviewed_can_220920,38031.03516,37867.24609,39722.97266,40458.02734,39480.37109,32565.68945,32298.36719,32107.70313,37240.51172,38647.125,36817.98828
P42669,P42669,Pura,Transcriptional activator protein Pur-alpha,P42669,PURA_MOUSE,UP000000589_mouse_reviewed_can_220920,297769.5,324861.4063,314917.375,329021.4063,340114.375,220900.4063,221172.375,251867.2188,238122.6563,247852.9688,293000.8438
P42703,P42703,Lifr,Leukemia inhibitory factor receptor,P42703,LIFR_MOUSE,UP000000589_mouse_reviewed_can_220920,661.0941772,15883.68359,22407.08984,3710.672607,2358.602539,7616.375977,27437.3418,9712.158203,20165.1875,9143.476563,867.9086304
P42859,P42859,Htt,Huntingtin,P42859,HD_MOUSE,UP000000589_mouse_reviewed_can_220920,52577.96094,57520.43359,59509.47266,58064.82422,63961.21875,50935.29688,56513.37891,51472.29688,54634.09766,71967.6875,61601.01953
P42925,P42925,Pxmp2,Peroxisomal membrane protein 2,P42925,PXMP2_MOUSE,UP000000589_mouse_reviewed_can_220920,70146.51563,64828.125,66419.22656,65587.92969,53387.55859,25173.70508,82070.19531,59613.11719,58742.89453,67170.67969,70296.72656
P42932,P42932,Cct8,T-complex protein 1 subunit theta,P42932,TCPQ_MOUSE,UP000000589_mouse_reviewed_can_220920,661273.0625,680706.6875,684489.5625,653981.875,651358.125,723824.1875,645382.125,701681.6875,711679.8125,665844.875,647635.3125
P43023,P43023,Cox6a2,"Cytochrome c oxidase subunit 6A2, mitochondrial",P43023,CX6A2_MOUSE,UP000000589_mouse_reviewed_can_220920,4006459.5,3529802.25,3355378.5,3673223,3413105,5996595.5,5761024.5,5728736.5,3711801.75,4825777,4835487
P43024,P43024,Cox6a1,"Cytochrome c oxidase subunit 6A1, mitochondrial",P43024,CX6A1_MOUSE,UP000000589_mouse_reviewed_can_220920,672324.875,602757.9375,673017.3125,712438.9375,619544.25,641465.5625,634757.9375,676864.3125,675625.0625,576197.8125,550798
P43025,P43025,Clec3b,Tetranectin,P43025,TETN_MOUSE,UP000000589_mouse_reviewed_can_220920,44917.83984,43720.48438,47743.80469,47840.10156,29350.97852,43536.24609,30531.08008,38504.84766,40894.55859,33021.89063,34025.67578
P43274,P43274,H1-4,Histone H1.4,P43274,H14_MOUSE,UP000000589_mouse_reviewed_can_220920,3772234.5,3717701.5,3560463,3649814.25,4597272,4304945.5,3272467,3636984,3168586.5,2743301,3872574.5
P43275,P43275,H1-1,Histone H1.1,P43275,H11_MOUSE,UP000000589_mouse_reviewed_can_220920,2108418,1782176,1765489.5,1604357,2245512.75,2322890.25,1338435,1601087.625,3229679.5,840016,1358719
P43276,P43276,H1-5,Histone H1.5,P43276,H15_MOUSE,UP000000589_mouse_reviewed_can_220920,722558.625,607116.0625,619585.6875,687616.1875,749160.4375,687454.5625,544561.375,554049.5625,762891.375,342815.75,425578.9375
P43277,P43277,H1-3,Histone H1.3,P43277,H13_MOUSE,UP000000589_mouse_reviewed_can_220920,1306801.875,1065030.25,1137493.875,1175023,1237888.625,1209882.625,1030996.5,904026.5625,1354957.25,676745.6875,860177
P43406,P43406,Itgav,Integrin alpha-V,P43406,ITAV_MOUSE,UP000000589_mouse_reviewed_can_220920,49118.48047,42271.70313,44119.05469,42994.73438,38887.86328,35199.39453,36457.76953,33944.10547,37125.84375,32875.51172,37637.88672
P43883,P43883,Plin2,Perilipin-2,P43883,PLIN2_MOUSE,UP000000589_mouse_reviewed_can_220920,423820.8438,328561.0625,328228.25,387580.1563,258891.75,565475.1875,555974,355683.375,383707.5938,345045.3438,421998.5
P45376,P45376,Akr1b1,Aldo-keto reductase family 1 member B1,P45376,ALDR_MOUSE,UP000000589_mouse_reviewed_can_220920,9055494,8852875,9254283,9462706,9088187,11342682,10899969,10656140,9053820,9806932,8747996
P45377,P45377,Akr1b8,Aldose reductase-related protein 2,P45377,ALD2_MOUSE,UP000000589_mouse_reviewed_can_220920,257840.6094,258765.875,228543.0625,273970.9688,210832.2969,387352.7813,315461.625,298902.7813,333892.0625,361370.3125,361284.5938
P45591,P45591,Cfl2,Cofilin-2,P45591,COF2_MOUSE,UP000000589_mouse_reviewed_can_220920,3316311.25,3386222,3346203.75,3414217.25,3462200.5,3016185.75,2967907.5,3147576.5,3554545.25,3358237.25,3323627.5
P45878,P45878,Fkbp2,Peptidyl-prolyl cis-trans isomerase FKBP2,P45878,FKBP2_MOUSE,UP000000589_mouse_reviewed_can_220920,185273.3906,205515.2813,210074.0781,187743.7344,218865.7656,60236.83984,153760.1875,170099.2656,195460.0781,218288.7188,209146.2344
P45952,P45952,Acadm,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",P45952,ACADM_MOUSE,UP000000589_mouse_reviewed_can_220920,33087728,32707818,32451860,34162676,34979264,38659756,34253116,34957160,34748268,34339216,35203332
P46061,P46061,Rangap1,Ran GTPase-activating protein 1,P46061,RAGP1_MOUSE,UP000000589_mouse_reviewed_can_220920,10629.47559,19508.47852,19561.04688,14555.50098,16161.80078,17479.3418,8107.620605,12745.31055,14914.87891,13291.35742,15632.45605
P46062,P46062,Sipa1,Signal-induced proliferation-associated protein 1,P46062,SIPA1_MOUSE,UP000000589_mouse_reviewed_can_220920,30.69127083,106.5298767,203.9008942,1319.394409,273.4609985,269.6557312,94.09407043,844.1580811,442.8883667,215.4173279,555.477356
P46412,P46412,Gpx3,Glutathione peroxidase 3,P46412,GPX3_MOUSE,UP000000589_mouse_reviewed_can_220920,651182.3125,685085.375,634592.625,668307,592743.3125,478189.4375,526071.4375,502414.3125,759077.1875,865793.5,774894.625
P46414,P46414,Cdkn1b,Cyclin-dependent kinase inhibitor 1B,P46414,CDN1B_MOUSE,UP000000589_mouse_reviewed_can_220920,76983.0625,79391.05469,78063.22656,71984.03906,76533.69531,69757.32813,83533.90625,86551.78906,91498.41406,89153.60938,80721.625
P46460,P46460,Nsf,Vesicle-fusing ATPase,P46460,NSF_MOUSE,UP000000589_mouse_reviewed_can_220920,228763.4844,216839.8125,231991.2031,221927.8438,210127.8281,213066.2031,200058.4531,189685.2969,218918.5469,189866.5781,210214.8281
P46467,P46467,Vps4b,Vacuolar protein sorting-associated protein 4B,P46467,VPS4B_MOUSE,UP000000589_mouse_reviewed_can_220920,80857.78125,78572.41406,75154.05469,82093.94531,64804.67578,74907.33594,70822.89063,63919.63672,82973.14844,71303.0625,59900.70313
P46471,P46471,Psmc2,26S proteasome regulatory subunit 7,P46471,PRS7_MOUSE,UP000000589_mouse_reviewed_can_220920,1014732.25,944121.625,971498,996115.9375,995110.125,992741.0625,969252.875,962738.125,1028604.313,935265.9375,911968.4375
P46638,P46638,Rab11b,Ras-related protein Rab-11B,P46638,RB11B_MOUSE,UP000000589_mouse_reviewed_can_220920,2564279.25,2604691.5,2596373.75,2364985.25,2359473.75,2281045,2267829.25,2189876,2493872.75,2149510.5,2441471.5
P46656,P46656,Fdx1,"Adrenodoxin, mitochondrial",P46656,ADX_MOUSE,UP000000589_mouse_reviewed_can_220920,271338.8438,322658.4375,322565.2813,256105.3125,322258.5938,404746.4375,330560.375,404565.3125,350213.4688,337898.5938,299890.7188
P46735,P46735,Myo1b,Unconventional myosin-Ib,P46735,MYO1B_MOUSE,UP000000589_mouse_reviewed_can_220920,58481.89844,54970.52344,65921.8125,55770.40234,60114.89844,64713.82813,47660.69141,70061.22656,64844.15625,37012.82031,19753.98438
P46737,P46737,Brcc3,Lys-63-specific deubiquitinase BRCC36,P46737,BRCC3_MOUSE,UP000000589_mouse_reviewed_can_220920,53991.17188,50948.30469,53584.79688,45339.66016,56481.09375,57718.37891,43819.28516,56679.61328,43725.60938,51548.77734,41598.54297
P46935,P46935,Nedd4,E3 ubiquitin-protein ligase NEDD4,P46935,NEDD4_MOUSE,UP000000589_mouse_reviewed_can_220920,248154.9688,233083.5156,229713.2813,247395.2969,223332.3125,186309.5,185473.5781,169569.7813,186731.6719,178257.7031,187737.0781
P46938,P46938,Yap1,Transcriptional coactivator YAP1,P46938,YAP1_MOUSE,UP000000589_mouse_reviewed_can_220920,105454.6797,81044.14844,82422.57031,102289.6719,98138.36719,82138.40625,90660.92969,94152.5,92280.11719,97251.11719,87440.32031
P46978,P46978,Stt3a,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,P46978,STT3A_MOUSE,UP000000589_mouse_reviewed_can_220920,190359.6563,155452.3594,161011.1563,186060,148835.9219,134350.7969,166787.7188,140759.4531,165065.1563,129926.6172,146100.8438
P47199,P47199,Cryz,Quinone oxidoreductase,P47199,QOR_MOUSE,UP000000589_mouse_reviewed_can_220920,568876.5625,542828.8125,525304,577282.125,533012.375,574812.125,570420.25,583924.4375,573832.875,625932.1875,648679.5
P47226,P47226,Tes,Testin,P47226,TES_MOUSE,UP000000589_mouse_reviewed_can_220920,2850.814941,6725.379883,7214.955078,4133.59082,8006.385742,5666.828125,4416.52832,5939.3125,10835.06641,4668.144531,Filtered
P47738,P47738,Aldh2,"Aldehyde dehydrogenase, mitochondrial",P47738,ALDH2_MOUSE,UP000000589_mouse_reviewed_can_220920,5096018.5,4653557.5,5034475,4789582.5,4369051.5,5112838,4696633.5,4390934.5,4162113.75,4339233.5,5394091
P47740,P47740,Aldh3a2,Aldehyde dehydrogenase family 3 member A2,P47740,AL3A2_MOUSE,UP000000589_mouse_reviewed_can_220920,736772.6875,761623.5,763723.5625,745047.375,692895.375,564209.625,605791.25,574944.0625,699458.8125,602546.25,625355.875
P47753,P47753,Capza1,F-actin-capping protein subunit alpha-1,P47753,CAZA1_MOUSE,UP000000589_mouse_reviewed_can_220920,1699820.875,1769070,1713062,1855026.875,1868541.75,1724849.625,1693974.125,1923769.5,2143135.75,1705223.125,1736429.375
P47754,P47754,Capza2,F-actin-capping protein subunit alpha-2,P47754,CAZA2_MOUSE,UP000000589_mouse_reviewed_can_220920,1422312.25,1547497.25,1455440.5,1363231.625,1544284.625,1544571.625,1445277.875,1541217.75,1513656.875,1496725.875,1420615.625
P47757,P47757,Capzb,F-actin-capping protein subunit beta,P47757,CAPZB_MOUSE,UP000000589_mouse_reviewed_can_220920,1574183.25,1844064.75,1674624.875,1661793.75,1870772.875,1962534.875,1724277.75,1887033.375,1914474.375,1807920.375,1762606
P47758,P47758,Srprb,Signal recognition particle receptor subunit beta,P47758,SRPRB_MOUSE,UP000000589_mouse_reviewed_can_220920,740697.25,731956.75,759572.9375,699534.25,684750.4375,804958.6875,822201.9375,767794.75,763106,731783.25,854193.4375
P47791,P47791,Gsr,"Glutathione reductase, mitochondrial",P47791,GSHR_MOUSE,UP000000589_mouse_reviewed_can_220920,116708.1641,167212.0156,172773.125,108035.6016,167539.6875,168082.2656,72373.375,95890.47656,97009.74219,151050.5625,105434.3828
P47802,P47802,Mtx1,Metaxin-1,P47802,MTX1_MOUSE,UP000000589_mouse_reviewed_can_220920,559798.5625,558060.25,563663.25,558335.5,458731.5,475792.3438,535035.625,525157.5,595229.8125,524440.0625,598853.125
P47809,P47809,Map2k4,Dual specificity mitogen-activated protein kinase kinase 4,P47809,MP2K4_MOUSE,UP000000589_mouse_reviewed_can_220920,831221.4375,841290.4375,909018.9375,771250.4375,716063.375,968205.625,799338.625,816550.25,772928.5625,721722.0625,749114.1875
P47811,P47811,Mapk14,Mitogen-activated protein kinase 14,P47811,MK14_MOUSE,UP000000589_mouse_reviewed_can_220920,134638.9688,139758.9688,140643.7188,132575.5,134175.875,151670.8125,154453.5313,154483.8281,149033.2656,146424.0625,148455.75
P47857,P47857,Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",P47857,PFKAM_MOUSE,UP000000589_mouse_reviewed_can_220920,8640543,8461994,8794021,8645168,8387501.5,10192247,9981098,10025875,7844385,8375893,9182936
P47911,P47911,Rpl6,60S ribosomal protein L6,P47911,RL6_MOUSE,UP000000589_mouse_reviewed_can_220920,1680850.125,1461799.625,1502919.125,1494572.25,1533846.125,1522175.625,1388278.25,1559689.125,1405282.125,1253766,1489675.25
P47915,P47915,Rpl29,60S ribosomal protein L29,P47915,RL29_MOUSE,UP000000589_mouse_reviewed_can_220920,104390.1094,61551.52344,88061.55469,124840.4219,95680.8125,109558.4531,90062.11719,116740.4063,90417.21094,63191.97656,85218.97656
P47934,P47934,Crat,Carnitine O-acetyltransferase,P47934,CACP_MOUSE,UP000000589_mouse_reviewed_can_220920,2645023.25,2714843.5,2649437.25,2472285,2786721.75,3148385.25,3125139.25,3230036.5,2639862.5,3095202.5,3151920.5
P47941,P47941,Crkl,Crk-like protein,P47941,CRKL_MOUSE,UP000000589_mouse_reviewed_can_220920,96515.40625,123657.5,107205.6563,100865.6953,132105.3438,100150.5938,86591.65625,109666.7891,124500.6641,123018.5391,115817.4141
P47955,P47955,Rplp1,60S acidic ribosomal protein P1,P47955,RLA1_MOUSE,UP000000589_mouse_reviewed_can_220920,836569,810641.25,877398.4375,792843.6875,848393.75,899247.0625,784260.5,871662.0625,706113.75,816527.0625,728171.6875
P47962,P47962,Rpl5,60S ribosomal protein L5,P47962,RL5_MOUSE,UP000000589_mouse_reviewed_can_220920,544707.6875,441862.0625,505336.1875,531773.375,463707.1875,548300.25,542903.75,512814.4063,485575.75,437494.0313,474361.8438
P47963,P47963,Rpl13,60S ribosomal protein L13,P47963,RL13_MOUSE,UP000000589_mouse_reviewed_can_220920,726956.375,604991.625,741475.9375,772898.5,652495.375,716067.125,689388.875,641159.25,607593.5625,563917.875,621855.5625
P47964,P47964,Rpl36,60S ribosomal protein L36,P47964,RL36_MOUSE,UP000000589_mouse_reviewed_can_220920,402549.25,358109,432394.5625,408828.4063,360383.3438,491792.6563,376649.0938,354712.5938,313789.1563,272315.8125,355358.125
P47968,P47968,Rpia,Ribose-5-phosphate isomerase,P47968,RPIA_MOUSE,UP000000589_mouse_reviewed_can_220920,5444.69043,11106.07715,33764.22266,26239.16602,33385.55078,47899.46875,2134.832275,13305.25684,10004.77441,21518.46289,24871.55664
P48024,P48024,Eif1,Eukaryotic translation initiation factor 1,P48024,EIF1_MOUSE,UP000000589_mouse_reviewed_can_220920,641345.875,666629.6875,721835.8125,677676.6875,658929.0625,611290.4375,579794.1875,589008.1875,648248.125,639693.875,582444.25
P48025,P48025,Syk,Tyrosine-protein kinase SYK,P48025,KSYK_MOUSE,UP000000589_mouse_reviewed_can_220920,29497.45703,27336.90039,29269.82813,27870.91406,16182.89551,48382.6875,28938.35547,21680.88672,27441.09375,4655.931641,25662.27539
