Location	chr	gene_name
29181658	CHR_HSCHR6_MHC_MCF_CTG1	OR2J4P
37452115	3	ITGA9
40477215	1	ZFP69
50135586	17	AC002401.1
76215355	15	ETFA
51793934	1	AL050343.1
36070427	14	LINC00609
20732880	1	AL663074.1
57869835	12	AC083805.1
37693280	19	SELENOKP1
30689327	CHR_HSCHR6_MHC_QBL_CTG1	MDC1
42548810	15	HAUS2
44656451	20	LINC01260
79558782	12	NOP56P3
29076581	CHR_HSCHR6_MHC_DBB_CTG1	SAR1AP1
29026690	CHR_HSCHR6_MHC_DBB_CTG1	OR2AD1P
28986213	CHR_HSCHR6_MHC_DBB_CTG1	HCG15
79611418	14	AC008056.2
78695321	14	AC009396.2
69313371	5	CFL1P5
11900011	3	NUP210P2
109494052	1	CYB561D1
45813219	11	AC044839.5
71579728	11	KRTAP5-14P
26379034	10	AL355798.1
84884654	15	SLC28A1
43718993	12	PUS7L
98197211	3	OR5H5P
117574512	4	NT5C3AP1
195655565	CHR_HSCHR3_6_CTG3	AC233280.6
28436201	10	RPSAP10
101273322	7	AC006329.2
49358185	6	EEF1A1P42
45804072	11	SLC35C1
4896809	3	BHLHE40-AS1
108817680	6	Z95118.1
53973126	12	HOXC11
53962308	12	HOTAIR
15552855	11	AC073172.2
52796144	X	SPANXN5
50551112	22	SYCE3
63423596	3	SYNPR-AS1
92412550	7	TMBIM7P
65851340	12	AC090673.1
4522531	19	PLIN5
204377850	1	AL606489.1
204346776	1	AL592114.1
83455932	4	MRPS18C
27977714	13	URAD
64945814	14	RAB15
44497892	21	TSPEAR
44666189	21	KRTAP12-2
64914485	14	CHURC1-FNTB
42979254	12	AC012038.1
42929848	12	AC068802.1
150018334	6	RAET1L
75964799	12	AC011611.1
136995170	6	AL135902.2
191199241	3	OSTN
44187943	1	AL035417.2
109346326	4	RBMXP4
44155028	1	OOSP1P1
57674665	12	RPL13AP23
48698963	X	AC231533.1
11451326	19	ELAVL3
11483427	19	ZNF653
82659281	15	AP3B2
31952580	13	EEF1DP3
53168522	16	AC007906.1
66192093	8	LINC00967
29745247	16	AC009133.3
90998416	15	VPS33B
37611350	1	RSPO1
70661667	16	AC020763.4
14833681	16	NOMO1
101337725	X	NANOGNBP3
20043916	14	OR4U1P
21089696	20	AL121759.2
75709056	16	ATP5PBP7
43974487	1	ATP6V0B
138422043	6	NHSL1
49948985	19	SIGLEC11
49909501	19	AC011452.1
50305586	10	SGMS1
29613104	16	SLC7A5P1
24428740	21	LINC01684
59938432	11	AP000790.3
29119428	1	TMEM200B
28982278	1	AL138785.1
68375327	1	ELOCP18
26216307	10	GAD2
173714941	1	KLHL20
70853239	15	LRRC49
44531785	20	PKIG
76959638	14	LINC01629
120365993	3	AC063952.4
107327830	3	AC063944.2
4608883	16	UBALD1
70791013	15	AC009269.1
168288553	3	AC124893.1
106382171	2	PLGLA
67333047	7	AC006480.2
116425225	9	ASTN2
248810446	1	SH3BP5L
227815693	1	PRSS38
81060953	15	AC068870.3
81117635	15	ANP32BP3
76774284	14	AF111169.3
65367438	11	AP000944.1
248231417	1	OR2M4
70748932	15	AC009269.2
53514992	7	AC009468.2
154639978	X	IKBKGP1
68043330	1	AL157407.1
45092310	20	KCNS1
227490691	1	AL451054.3
109052350	12	USP30-AS1
67522347	1	LINC01702
64103470	3	PRICKLE2-AS2
64445231	3	AC096888.1
64099273	3	PRICKLE2-AS1
33437363	6	AL662799.1
171700160	1	VAMP4
30316333	17	TMIGD1
50529710	22	ODF3B
57549998	12	KIF5A
47661657	19	AC008985.1
130836916	2	ARHGEF4
133962992	8	AC110741.2
114453064	11	AP002373.2
102249857	2	FAM183DP
171345105	1	TOP1P1
141427295	5	AC005618.2
4510675	16	CDIP1
58421326	16	LINC02137
45013214	2	AC093702.1
123563070	8	AC090193.2
56356135	4	RPL7AP31
56338287	4	AASDH
4354542	16	CORO7
44805617	21	SUMO3
5105541	17	ZNF232
20389552	20	RALGAPA2
238289127	2	AC012485.3
246540560	1	TFB2M
52552090	16	CASC16
246509038	1	AL356583.1
71413834	X	AL590762.4
50502949	22	LMF2
122322122	12	CCDC150P1
35141515	1	AL590434.1
127610292	7	PAX4
49700943	17	SLC35B1
54445939	CHR_HSCHR19_4_CTG3_1	AC008746.1
93980139	3	ARL13B
226656640	1	ITPKB-IT1
201134772	1	TMEM9
94047836	3	DHFR2
94014369	3	STX19
94075912	3	RBBP4P2
87094734	11	XIAPP2
45162928	19	TRAPPC6A
19092974	17	AC007952.2
226631690	1	ITPKB
45212621	19	EXOC3L2
28870483	1	AL009181.1
36574553	20	TGIF2-C20orf24
169514166	1	F5
51251231	19	AC063977.3
99396613	15	AC015660.3
122229564	12	VPS33A
28987124	CHR_HSCHR6_MHC_SSTO_CTG1	HCG15
28987721	CHR_HSCHR6_MHC_SSTO_CTG1	BX248109.1
28944738	CHR_HSCHR6_MHC_SSTO_CTG1	LINC01556
75101477	4	AC110760.3
98391401	8	AP003355.3
136550661	6	AL024508.2
31048375	CHR_HSCHR6_MHC_SSTO_CTG1	BX247900.1
31002649	CHR_HSCHR6_MHC_SSTO_CTG1	BX248321.1
224297646	1	AC092809.1
65213840	11	SLC22A20P
97334635	4	AC034154.1
24540423	22	GUCD1
71582293	12	AC078860.1
92668745	10	EIF2S2P3
168786539	2	NOSTRIN
5426895	20	LINC00658
122128762	5	AC010255.1
35731649	17	RASL10B
92593286	10	KIF11
43486701	5	C5orf34
87470623	6	SLC35A1
25175062	10	GPR158
21817579	Y	OFD1P16Y
75089248	10	PPIAP13
82900684	4	THAP9
68907918	4	AC021146.6
68901008	4	AC021146.12
34646645	9	AL162231.3
64854312	17	LRRC37A3
108434130	12	LINC01498
64881091	17	AC103810.7
30552078	15	GOLGA8Q
166856510	1	TADA1
166868748	1	DUTP6
95759231	9	LINC00476
64905883	17	AC103810.6
95918136	9	AL161454.1
95772323	9	AL354861.3
108223341	1	NBPF4
88984032	16	AC135782.2
90902218	15	MAN2A2
46578217	10	SYT15
186851886	3	ADIPOQ-AS1
30540093	15	AC026150.1
204228137	2	AC009498.1
204090457	2	AC009965.1
37196204	3	AC097359.1
164664	12	AC026369.2
186842690	3	ADIPOQ
121874193	12	AC069503.3
66944660	16	AC009084.3
186826549	3	AC112907.2
166691187	3	PSAT1P4
121101173	11	TECTA
186810880	3	LINC02043
30390885	7	LINC01176
56712428	12	NACA
46549044	10	GPRIN2
87407983	6	CFAP206
124801785	10	ABRAXAS2
19975431	1	PLA2G2A
13009577	11	RASSF10
13054615	11	AC013762.1
243054861	1	AL606534.5
120952335	9	C5
243056307	1	LINC01347
51662693	3	TEX264
57487711	19	ZNF419
165819353	1	AL451074.5
165890795	1	AL358115.1
39736060	2	THUMPD2
71439770	12	LGR5
165768929	1	AL451074.2
160171061	6	SLC22A2
165941235	1	AL606495.2
166022215	1	AL606495.1
166081183	1	AL626787.1
166057426	1	FAM78B
121856259	12	AC079360.1
66942712	16	AC009084.1
77080511	13	MYCBP2-AS2
77026767	13	MYCBP2-AS1
74552584	4	AC239584.1
66961237	16	CES3
36602	12	FAM138D
18967434	14	POTEM
96195477	X	RPS29P28
56752161	12	HSD17B6
166147782	1	AL596087.2
75037836	10	DUPD1
64847386	17	AC103810.10
166275629	1	AL596087.1
108200413	1	AL359258.3
51184905	19	SIGLEC20P
52198012	16	AC007333.2
108134036	1	SLC25A24
166334884	1	AL390115.1
75647906	15	SNX33
52258564	16	CASC22
96337236	X	BRDTP1
166387727	1	AL583804.1
51194118	19	AC063977.4
96620654	X	AL606530.1
51198855	19	SIGLEC21P
166474745	1	FMO7P
52238082	16	AC007333.1
243135898	1	AL606534.1
55891699	19	NLRP13
52436772	16	AC007490.1
166475772	1	LINC01675
166566178	1	FMO8P
243124428	1	CEP170
75645020	15	AC105020.5
16290135	16	AC136624.2
73098822	4	HMGA1P2
75636139	15	AC105020.2
75639760	15	AC105020.6
66042500	1	AL590783.1
75639085	15	IMP3
137411	12	AC026369.1
166160777	3	MTND3P7
166161203	3	MTCO3P38
166603916	1	FMO9P
166181313	3	MCUR1P2
151485336	2	NEB
106524	12	AC026369.3
95875701	9	ERCC6L2
160272617	6	AL162582.1
112967484	13	MCF2L-AS1
166856	12	AC007406.3
30420283	15	AC019322.2
27496842	2	GCKR
112964835	13	AL356740.1
98189833	8	NIPAL2
13152200	11	AC022878.1
108288044	12	CMKLR1
66765	12	IQSEC3
49632500	X	VDAC1P2
18977180	14	AL929601.3
113009671	13	AL356740.3
30507377	15	AC127502.3
49664844	X	SALL1P1
21696570	Y	CDY11P
166665885	1	FMO10P
30487963	15	AC127502.2
135447446	9	SOCS5P2
51541144	3	RAD54L2
30470779	15	AC127502.1
106315544	4	AIMP1
30176387	7	AC007036.1
166747379	1	RPL4P2
149717621	6	AL358852.1
13731760	19	CCDC130
57487718	19	AC003005.1
166763334	1	FMO11P
149658153	6	LATS1
57499915	19	ZNF773
166796266	1	CNN2P10
87441165	6	AL049697.3
30371508	7	AC006978.1
19736975	13	RN7SL166P
54222284	18	SNORA37
75604209	14	MIR7641-2
4756338	16	RF00017
24449351	5	RF00017
28505116	8	MIR4288
54094681	CHR_HSCHR19LRC_LRC_J_CTG3_1	OSCAR
231768604	2	AC073476.4
169067264	1	RNA5SP66
9819954	19	RF00156
236153071	2	RF00019
147258760	X	MIR509-2
85781775	16	RNU1-103P
113976341	X	RN7SL93P
2270713	16	MIR3677
120015179	6	MIR3144
112661657	X	RF00019
65044688	14	MIR4706
64825765	17	RNU7-115P
64579847	1	MIR4794
15112968	6	RN7SL332P
64780759	17	MIR6080
56871170	17	RNU6-1158P
80776666	8	RN7SL308P
20343075	14	RPPH1
24333415	16	RF00408
65444458	11	MIR612
72881108	13	RNU6-79P
68935873	9	RNU6-820P
103850797	X	RNA5SP511
1021522	19	RNU6-2
160696929	3	RF00139
233379843	2	RF00019
132152243	2	RNU6-1132P
68742480	16	RNA5SP429
113632704	3	RN7SL767P
30233872	CHR_HSCHR15_4_CTG8	AC243949.1
147236913	X	MIR508
92840719	1	SNORA66
64880369	9	RNU6-1293P
30053585	CHR_HSCHR6_MHC_APD_CTG1	RF02220
98032230	9	RNU6-918P
46720193	15	RN7SKP101
210374154	1	RNU5A-8P
11233988	2	RNU6-1081P
99356131	13	MIR623
228646040	1	RNA5S17
25237986	15	SNORD115-37
16534081	1	RNU1-6P
37203610	1	RNU6-636P
60546219	5	RF02161
139909904	X	RF00425
53764204	15	RNU6-449P
123180310	8	RF00012
111097325	9	RNY4P18
134760208	X	RNU4-44P
31142939	14	RNU6-541P
84887207	11	RF02112
26006216	1	RF00283
48169784	18	RNU6-708P
149594625	6	RF00410
2557753	17	RN7SL33P
30922332	CHR_HSCHR6_MHC_COX_CTG1	RF00019
85613017	10	RF02271
41045497	22	RF00019
86347062	2	RF00096
27701673	8	MIR3622B
150241777	3	RF00004
39661216	X	MIR3937
105824634	11	RNU4-55P
48959179	X	RNU6-722P
10759584	18	MIR6788
168560904	5	MIR103B1
129484057	8	MIR3686
64095024	14	MIR548H1
179614775	3	RF01210
185266535	1	RF00019
70180144	1	RN7SL242P
231670635	1	RNU5A-5P
20784509	16	RNU6-944P
32820261	9	RF00019
55052029	CHR_HSCHR19LRC_LRC_S_CTG3_1	RDH13
12111952	12	MIR1244-4
948421	CHR_HSCHR11_3_CTG1	RNU6-1025P
119060983	10	RF00413
31259599	10	RNA5SP309
130602795	7	RNA5SP246
31613823	CHR_HSCHR6_MHC_SSTO_CTG1	SNORA38
154768596	X	MIR664B
92170353	12	RF00019
7431217	16	RF00537
44731055	1	RNU5D-1
83067962	10	RNU6-478P
40502040	4	MIR4802
127856890	2	RF00017
36110150	CHR_HSCHR17_10_CTG4	RN7SL301P
83041464	11	SNORA70E
35097560	17	RF00006
12300266	9	RNU2-47P
38147415	2	RNU6-951P
128745857	9	RF00017
10691538	2	RF00017
53387713	3	RF00568
72691705	3	RNA5SP136
77645324	1	RN7SL370P
55499950	2	RNU6-634P
109915096	13	RN7SKP10
95840017	11	RNA5SP345
42676189	3	RN7SL567P
41092513	22	MIR1281
16910490	19	RN7SL823P
106449381	6	RNA5SP211
53719064	19	RNU6-803P
37668898	8	RNU6-607P
91594965	8	RN7SKP231
44777843	1	SNORD38A
48153980	X	RNU6-707P
100102559	9	RN7SL75P
52754322	1	RNU2-30P
173808489	1	RF00019
224107282	1	RN7SKP49
100972103	14	SNORD114-14
12972053	12	RF00604
95670441	14	RF02193
45327366	CHR_HSCHR17_1_CTG5	RNA5SP443
19045256	22	RF00019
147230720	X	MIR506
125890566	10	RNU2-42P
74079537	8	RNU6-1197P
148330271	1	RF00019
152393421	X	MIR767
30731557	22	MIR3200
89063500	6	RNU2-61P
27886039	8	MIR4287
128244947	9	MIR3154
79030240	7	RNU6-337P
27701677	8	MIR3622A
35471405	2	MIR548AD
33829539	13	RNU5A-4P
91636251	9	MIR3910-1
149516956	6	RNU7-3P
21506049	16	MIR3680-1
54878113	14	MIR4308
65229861	15	RNU6-686P
43194421	7	RNU7-35P
40813883	22	MIR4766
140094697	7	RF00019
2652777	20	MIR1292
30726158	CHR_HSCHR6_MHC_COX_CTG1	RF00019
41658676	12	RNA5SP360
54033950	12	MIR615
110082118	X	MIR3978
125032783	10	MIR4296
228397048	1	MIR6742
430239	10	RN7SL754P
231019828	1	MIR1182
56205052	20	RNA5SP487
172138798	1	MIR214
54069947	CHR_HSCHR19LRC_LRC_T_CTG3_1	TARM1
155181881	7	RN7SKP280
54094681	CHR_HSCHR19LRC_LRC_I_CTG3_1	OSCAR
43364648	1	MIR6734
160404588	3	MIR15B
49036352	17	RNU6-826P
31739132	CHR_HSCHR6_MHC_DBB_CTG1	RF00026
70852698	16	RNU6ATAC25P
48723188	17	RF02132
101027100	14	MIR329-2
151576766	4	RN7SKP35
31701029	6	MIR4646
105534659	10	RNU6-463P
29721399	11	RN7SL240P
170119996	2	RNU6-1006P
49059603	2	MIR548BA
49593104	12	RNU6-834P
60187738	13	RNY4P28
54636119	CHR_HSCHR19LRC_COX2_CTG3_1	NLRP2
26671402	22	RF01875
28002484	22	RF02201
29741510	20	RF00002
126590287	6	RNU6-200P
32102065	X	RNA5SP501
46018745	6	RNU6-754P
25723342	Y	RNU1-107P
33982465	12	RF00019
5093408	10	RF00096
44307088	17	RNU6-453P
73403788	7	RF00019
70222006	X	RN7SL581P
77442109	17	RF00019
100257688	12	RF00019
54190866	CHR_HSCHR19LRC_PGF2_CTG3_1	TSEN34
58817615	20	MIR296
37246173	5	RN7SL37P
127794541	8	RF02164
54107066	CHR_HSCHR19LRC_COX2_CTG3_1	TFPT
108826764	X	RNU6-309P
35643143	20	RN7SKP271
154887360	X	MIR1184-1
95662480	14	RF02192
132723945	12	RNA5SP379
93819357	9	MIR4291
134850277	9	MIR3689D2
122120082	9	MIR4478
65124352	14	RNU2-14P
53697533	19	MIR525
30560644	15	RN7SL796P
17862588	19	SNORA68
54094681	CHR_HSCHR19LRC_LRC_S_CTG3_1	OSCAR
10298966	1	RNU6-37P
132031224	12	SNORA49
54040833	CHR_HSCHR19LRC_LRC_S_CTG3_1	VSTM1
78115158	3	RN7SL647P
92820977	9	RNU6-714P
170057301	3	RNU4-38P
1167457	KI270728.1	AC136616.2
152489327	4	MIR3140
30026209	CHR_HSCHR6_MHC_DBB_CTG1	RF02218
175369540	3	MIR4789
125979812	6	RNA5SP216
5224448	11	RF00621
25928979	Y	RNU1-40P
25223246	15	SNORD115-29
30958848	CHR_HSCHR6_MHC_MANN_CTG1	VARS2
228628148	1	RNA5S9
52190621	X	SNORA11D
9564390	16	RNA5SP403
145149537	4	RF00019
50075570	13	RF02109
67408774	17	RF00019
40026332	17	MIR6884
101065598	14	MIR369
45538099	CHR_HSCHR17_2_CTG5	RF00017
69530613	5	RNU6-724P
20290257	17	RNU6-1057P
40391232	17	RF00019
32791814	7	RF00322
21987481	1	RN7SL386P
139012329	5	RNA5SP194
25087662	15	SNORD116-20
62683905	17	RNU6-446P
185630428	1	RF00019
131792172	6	MIR548H5
54115536	CHR_HSCHR19LRC_LRC_I_CTG3_1	PRPF31
105929126	8	RF00019
15449548	19	MIR1470
12760717	18	RF00019
53729838	19	MIR518E
42823880	17	MIR6781
86278333	11	MIR6755
45843634	7	RNU6-326P
177255945	2	MIR3128
161401289	1	RNU6-481P
32086949	1	MIR5585
65506117	11	RF01684
14223041	20	RN7SL864P
106910757	12	RPL30P12
64941979	1	AL606517.1
106901283	12	EEF1B2P4
155991390	1	AL355388.1
106245613	12	AC079174.1
190091005	4	DUX4L2
190071232	4	DUX4L7
190064502	4	DBET
160452598	3	B3GAT3P1
160227454	3	AC079594.2
99970011	1	AC118553.2
155614726	1	AL353807.3
187516153	4	AC093763.1
120710435	12	UNC119B
155335268	1	ASH1L
104514029	12	AC079316.1
69946543	12	AC078922.1
155255979	1	SCAMP3
70751123	3	COX6CP6
70219132	12	LINC01481
98661701	1	SNX7
98660388	1	AC095031.1
98210747	1	LINC01776
155213821	1	GBAP1
97394154	1	DPYD-IT1
97967005	1	BX005019.1
116118923	6	COL10A1
103965804	12	TDG
61647242	16	CDH8
81946444	7	CACNA2D1
155078872	1	EFNA3
94529225	1	F3
20587496	22	CCDC74BP1
49548681	22	Z97192.1
127701022	2	WDR33
49414524	22	C22orf34
20495913	22	MED15
93992835	1	ABCA4
102513251	12	AC010202.1
100032325	12	AC126474.2
100028455	12	UHRF1BP1L
33269579	CHR_HSCHR6_MHC_DBB_CTG1	RGL2
181064089	4	LINC00290
180731164	4	AC104803.1
177729638	4	LINC01099
177728757	4	LINC01098
39342396	19	SAMD4B
72320367	5	PTCD2
93190740	1	AC126124.2
84507885	15	GOLGA6L5P
84505463	15	AC048382.3
49260085	3	AC121247.1
32969856	CHR_HSCHR6_MHC_SSTO_CTG1	PPP1R2P1
53513741	15	WDR72
9563171	4	AC097493.2
58284773	14	HMGB1P14
84398316	15	DNM1P51
100307702	7	SPDYE3
93467488	12	MRPL42
58825891	16	RPL12P36
156988117	3	AC117392.1
18069935	11	SAAL1
114598455	4	UGT8
101745497	12	GNPTAB
9262872	4	USP17L21
174636914	4	GLRA3
60659631	1	AC099792.1
158672125	4	ETFDH
52801614	15	AC016044.1
9234385	4	USP17L15
9229641	4	USP17L14P
92298965	1	RPAP2
127549369	10	NPS
60940239	1	NFIA-AS2
31676256	22	PRR14L
69471452	3	RBM43P1
231921820	2	NPPC
8460618	12	AC092865.1
156540140	3	SSR3
60114875	1	AC097066.1
34022281	12	ALG10
116738178	12	RNFT2
30145206	CHR_HSCHR6_MHC_MCF_CTG1	PPP1R11
8745397	4	AC209005.1
158270378	4	AC098679.2
129401321	3	EFCAB12
185159665	4	CFAP97
185370725	4	AC112722.1
78759203	15	ADAMTS7
39254916	19	MSRB1P1
39246314	19	IFNL4
98645141	12	APAF1
39243553	19	IFNL3
77204578	15	AC087465.1
91901458	12	AC090049.1
153890595	1	AL831737.1
32589215	CHR_HSCHR6_MHC_SSTO_CTG1	HLA-DRB8
33215710	CHR_HSCHR6_MHC_DBB_CTG1	HTATSF1P1
23084355	8	AC107959.4
23102590	8	TNFRSF10C
91362196	12	AC025035.1
91193709	12	AC007115.1
153633982	1	CHTOP
31971091	6	STK19
122075647	7	AASS
124664052	4	ANKRD50
150050729	3	AC022494.1
29931441	CHR_HSCHR6_MHC_QBL_CTG1	HCG4P5
119084998	1	RBMX2P3
141738204	3	RNF7
105865551	14	IGHD7-27
105865624	14	IGHJ1P
119219314	1	RPL6P2
119047405	1	WARS2-IT1
135557919	7	NUP205
96019484	14	AL137190.1
117367449	1	MAN1A2
19343647	16	AC130456.2
19392213	16	AC130456.7
212285537	1	PPP2R5A
57882340	16	CNGB1
18731440	Y	HSFY2
101324205	3	SENP7
20465668	Y	TTTY10
5069572	11	OR52E1
29497509	6	AL662860.1
14178358	3	LSM3
77780337	CHR_HSCHR10_1_CTG4	IMPDH1P5
2043475	17	AC090617.5
41494853	6	FOXP4-AS1
104395002	2	AHCYP3
134990938	X	SMIM10
19285739	16	CLEC19A
103865746	2	AC013727.2
65926475	5	ERBIN
113818077	11	AP003170.3
103275904	2	AC010881.1
66485095	7	AC008267.7
5046526	11	OR52J3
66407288	7	GTF2IP9
123666355	10	GPR26
106359793	14	IGHV3-33
36104881	21	AP000688.2
4514204	2	NPM1P48
54880532	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	KIR3DL2
106286811	14	HOMER2P2
64960053	2	AC007386.1
76389648	11	AP002360.3
76392196	11	AP002360.2
33795688	3	AC112220.4
80165923	15	AC087761.1
100486642	10	SEC31B
144423601	8	VPS28
106170749	14	IGHVIII-16-1
106120207	14	IGHVIII-11-1
15702950	4	BST1
160217464	1	AL139011.2
106116635	14	IGHV3-11
29212886	6	OR2H4P
123109494	9	MIR600HG
150450630	7	GIMAP8
24060497	CHR_HSCHR22_1_CTG7	AP000351.5
35181799	15	ANP32AP1
9555914	8	TNKS
181174484	1	LINC01732
5068232	20	TMEM230
6044353	8	AC009435.1
151181052	5	CCDC69
43777087	15	SERF2
110893708	3	NECTIN3-AS1
56690465	11	AP004245.1
48672455	3	AC141002.1
74957219	15	SCAMP5
100894928	1	AC104506.1
109977540	3	AC078918.1
109701456	3	DIMT1P1
45390239	CHR_HSCHR10_1_CTG2	ALOX5
64841883	15	AC069368.1
45460633	CHR_HSCHR10_1_CTG2	AL731567.2
84033756	6	MRAP2
36136536	9	GLIPR2
100651947	1	AC099670.2
21637974	19	AC123912.3
100538137	1	GPR88
134030305	9	BRD3
131950946	6	AL133346.1
39323328	2	AC007684.1
50505998	19	JOSD2
9704077	12	LINC02390
24052465	CHR_HSCHR22_1_CTG7	AP000351.7
30741465	CHR_HSCHR6_MHC_MANN_CTG1	RPL7P4
15325296	8	AC103851.1
92205356	9	AL136097.2
106005095	14	IGHV1-3
32754940	X	DMD-AS3
97102756	10	SLIT1-AS1
177682294	5	AC138819.1
12875499	12	RPL13AP20
142857458	CHR_HSCHR7_2_CTG6	TRBJ2-1
142857653	CHR_HSCHR7_2_CTG6	TRBJ2-2
1565035	CHR_HSCHR8_5_CTG1	DLGAP2-AS1
30396074	21	KRTAP13-1
3982673	6	AL138831.3
15480860	CHR_HSCHR16_1_CTG1	AC243733.1
179953184	1	AL353708.1
1962381	3	AC018814.1
177619059	5	AC139795.1
5061037	20	AL121890.5
1464497	7	AC102953.2
5049857	20	AL121890.2
8938787	7	AC009500.1
5013520	20	AL121890.1
101479390	2	LINC01870
995966	1	AL645608.8
60761874	20	AL117372.1
36021692	9	OR2AM1P
49404049	17	PHB
55551885	5	AK4P2
60414396	20	MTCO2P1
107653968	7	SLC26A4-AS1
142848110	CHR_HSCHR7_2_CTG6	TRBJ1-2
4768979	11	OR51F1
4722740	11	KRT8P49
13816258	3	WNT7A
72756398	10	AC016542.2
35143250	19	FXYD7
52169987	13	AL158066.2
101345551	2	CREG2
62397645	13	AL356102.1
27110085	3	NEK10
64765054	9	IGKV1OR-2
74019353	14	BBOF1
31083439	16	AC135050.2
35290282	18	ZNF271P
6019336	11	OR56A1
36997796	7	ELMO1-AS1
36635060	CHR_HSCHR17_7_CTG4	AC003042.1
123561642	X	TUBB4AP1
56500300	11	OR5M7P
143255264	7	AC073342.1
167975924	6	HGC6.3
48042898	12	SENP1
179271116	1	AL512326.2
70358198	11	AP000487.2
71186757	4	SLC4A4
17977409	17	ATPAF2
115804733	5	CDO1
18010643	17	AC087163.2
115770586	5	AC008549.3
177600100	5	B4GALT7
16654066	22	ANKRD62P1-PARP4P3
15522801	6	DTNBP1
16690103	22	VWFP1
56747390	CHR_HG151_NOVEL_TEST	AP001803.3
56389241	CHR_HG142_HG150_NOVEL_TEST	OR8L1P
1591392	20	AL049634.3
56375625	CHR_HG142_HG150_NOVEL_TEST	OR8U8
140806929	5	PCDHA4
3293808	Y	AGPAT5P1
170178681	6	AL596442.2
47649476	17	KPNB1
47682417	17	AC015674.1
16590751	22	CCT8L2
131910191	6	AL117378.2
143279957	7	TMEM139
16572027	22	AP000547.1
148133809	6	AL359382.1
64097802	CHR_HSCHR20_1_CTG3	OPRL1
34877778	6	TAF11
82057506	17	DUS1L
70398404	11	CTTN
158808399	1	OR10AA1P
29720050	CHR_HSCHR6_MHC_MANN_CTG1	HCG4P11
30316398	CHR_HSCHR6_MHC_SSTO_CTG1	TRIM39
30319231	CHR_HSCHR6_MHC_SSTO_CTG1	RPP21
726936	16	HAGHL
4852356	20	SLC23A2
44970035	15	AC090888.2
91798312	10	TNKS2
59688517	15	AC092755.2
17177511	19	AC020913.3
140732290	5	AC116353.3
67701280	4	UBA6-AS1
73420004	8	STAU2-AS1
73651289	8	VENTXP6
9412772	X	AC073488.2
44117299	3	AC006058.1
42707800	9	BX664718.1
12086891	11	AC124276.2
1850950	5	AC025183.3
1428465	7	MICALL2
73886617	14	ZNF410
8413270	19	MARCH2
9402751	X	AC073488.1
25227855	2	DNMT3A
54769838	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	KIR2DL1
100264009	1	RTCA-AS1
152876820	2	UBQLN4P2
73905267	14	AC005520.3
67991684	4	TMPRSS11GP
100778582	4	LINC01217
44825747	15	SORD2P
54786463	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	KIR3DP1
119222564	X	AC004835.2
115512077	5	CCT5P1
56296541	CHR_HG142_HG150_NOVEL_TEST	OR8I1P
112959134	9	MUPP
121047588	X	GLUD2
44846175	19	NECTIN2
12326056	12	MANSC1
15901791	22	AP000522.1
113038380	9	ZFP37
40728811	12	AC016144.1
40978744	12	AC015540.1
4545191	11	OR52M1
115389643	5	CTNNA1P1
158025550	1	KIRREL1-IT1
103087198	X	Z75746.1
63819433	17	FTSJ3
119078635	X	KIAA1210
44882027	19	AC011481.2
142941114	7	KEL
3110460	16	ZNF213-AS1
46428653	11	AC024293.1
4048211	4	AC116562.4
17390509	19	CCDC194
169790321	6	LINC00574
169788790	6	LINC00242
30697750	CHR_HSCHR6_MHC_MANN_CTG1	DHX16
135619165	6	GAPDHP73
128444587	9	AL359091.2
189486480	2	AC013439.1
112959279	11	AP000802.1
64308316	17	RPL31P57
34849137	15	AC018868.2
14764952	3	AC090957.1
38127951	17	TBC1D3E
120978543	12	HNF1A
76703444	18	ARL2BPP1
135497801	6	LINC00271
135629405	6	AL035604.1
15317897	CHR_HSCHR16_1_CTG1	NOMO1
47561307	16	AC007599.1
30731576	CHR_HSCHR6_MHC_MCF_CTG1	DHX16
47150132	16	RPL23AP72
47299447	16	AC007533.1
180899077	5	BTNL8
31512399	CHR_HSCHR6_MHC_DBB_CTG1	DDX39B
80059568	15	ZFAND6
18504633	20	RPS19P1
28499362	16	IL27
31524481	CHR_HSCHR6_MHC_DBB_CTG1	DDX39B-AS1
25188059	5	AC099499.2
157745733	1	FCRL2
75717819	11	MOGAT2
7156934	7	C1GALT1
42403447	21	UBASH3A
157709086	1	AL356276.2
157691762	1	AL356276.1
126980967	7	AC000362.1
126868767	7	AC000367.1
6923804	7	ALG1L5P
73794079	16	AC087565.2
120971808	X	AL670379.8
73092349	16	HCCAT5
72805998	16	AC004943.1
73812621	16	AC087565.1
43371642	10	FXYD4
64574306	8	AC090136.3
73123296	16	AC116667.2
64674853	5	MRPL49P1
32741885	1	KIAA1522
73232055	16	AC140912.1
30725496	CHR_HSCHR6_MHC_MCF_CTG1	C6orf136
67638177	4	AC096720.1
72973374	16	AC132068.1
42384805	9	FKBP4P6
43323665	10	AC068707.1
24835280	5	LINC02239
42213841	9	AL445584.3
24786842	5	BTG4P1
72665170	16	AC004943.2
42199000	9	FAM74A7
4780023	20	RASSF2
707650	16	Z97653.2
24749374	5	AC091893.1
16590611	10	RSU1
120966948	X	AL670379.7
57175233	19	AC025588.1
108743424	3	RETNLB
